epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4454.23,1.00163,0.83796,1.07482,0.79972,0.82442,0.85605,0.63098,0.89915,0.68224,1.02055,0.00333294,0.00333294,0.00333294
2,8795.4,0.99643,0.7335,1.0777,0.81274,0.83507,0.86744,0.64144,0.88106,0.65039,1.01522,0.00633629,0.00633629,0.00633629
3,13109.6,1.03187,0.76743,1.10338,0.8121,0.82774,0.86399,0.63765,0.87498,0.6458,1.02012,0.00900965,0.00900965,0.00900965
4,17414.2,1.01248,0.75068,1.1014,0.82137,0.84098,0.87375,0.65459,0.8379,0.61505,1.00588,0.008515,0.008515,0.008515
5,21717.5,0.95386,0.69443,1.07133,0.83158,0.85144,0.88358,0.67361,0.8119,0.58653,0.99158,0.00802,0.00802,0.00802
6,26019.7,0.92326,0.66244,1.05758,0.84319,0.85097,0.88871,0.68469,0.79771,0.56622,0.98356,0.007525,0.007525,0.007525
7,30326.1,0.90171,0.64115,1.04677,0.84592,0.85881,0.89511,0.69276,0.78371,0.55209,0.97942,0.00703,0.00703,0.00703
8,34628.1,0.88389,0.62212,1.03702,0.85054,0.86155,0.89875,0.6983,0.77557,0.54089,0.97399,0.006535,0.006535,0.006535
9,38931,0.86717,0.6067,1.02993,0.85014,0.86923,0.90157,0.70259,0.76854,0.5324,0.97076,0.00604,0.00604,0.00604
10,43233.6,0.85605,0.59309,1.0243,0.85367,0.87515,0.90443,0.70655,0.76347,0.52575,0.96845,0.005545,0.005545,0.005545
11,47535.8,0.84487,0.58333,1.01846,0.85554,0.87586,0.90642,0.70984,0.75963,0.52084,0.96638,0.00505,0.00505,0.00505
12,51838.2,0.83261,0.57203,1.01208,0.85949,0.87633,0.90811,0.71196,0.75699,0.51557,0.96469,0.004555,0.004555,0.004555
13,56139.1,0.82403,0.56155,1.00831,0.86172,0.87622,0.90898,0.71458,0.75436,0.51168,0.96328,0.00406,0.00406,0.00406
14,60440.4,0.81237,0.55151,1.00092,0.86204,0.87802,0.90995,0.71614,0.75236,0.50837,0.96172,0.003565,0.003565,0.003565
15,64745.3,0.8024,0.54136,0.99667,0.86284,0.88013,0.91125,0.71828,0.75029,0.50551,0.96052,0.00307,0.00307,0.00307
16,69059.7,0.79163,0.52902,0.99321,0.86539,0.8806,0.9125,0.71993,0.74846,0.50299,0.95955,0.002575,0.002575,0.002575
17,73378.5,0.78058,0.51819,0.9868,0.86506,0.8831,0.91396,0.72186,0.74656,0.50036,0.95844,0.00208,0.00208,0.00208
18,77697,0.77146,0.50754,0.98329,0.86624,0.88422,0.91492,0.72359,0.74453,0.49762,0.95732,0.001585,0.001585,0.001585
19,82012.4,0.75965,0.49557,0.97878,0.86883,0.88467,0.91626,0.72503,0.74267,0.49488,0.95626,0.00109,0.00109,0.00109
