epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,526.04,1.30069,1.31633,1.3371,0.68496,0.61959,0.67804,0.40347,1.31661,1.30114,1.33791,0.000370094,0.000370094,0.000370094
2,1030.12,1.30376,1.16256,1.34317,0.74025,0.70562,0.77247,0.50034,1.19892,1.07146,1.25015,0.000725767,0.000725767,0.000725767
3,1529.55,1.24797,1.08245,1.31272,0.74334,0.72982,0.79098,0.5269,1.18605,1.01209,1.23634,0.00106677,0.00106677,0.00106677
4,2027.12,1.20125,1.02123,1.27621,0.78234,0.76518,0.82307,0.56223,1.13663,0.93792,1.19921,0.00104501,0.00104501,0.00104501
5,2524.74,1.15761,0.96071,1.2526,0.78509,0.78295,0.83295,0.57133,1.07824,0.9239,1.18069,0.00102301,0.00102301,0.00102301
6,3033.52,1.10991,0.9096,1.22722,0.77906,0.78706,0.83024,0.58488,1.05239,0.90515,1.16311,0.00100101,0.00100101,0.00100101
7,3528.94,1.09708,0.88772,1.21371,0.77675,0.80336,0.84436,0.59916,1.04624,0.87426,1.15348,0.000979013,0.000979013,0.000979013
8,4036.43,1.07288,0.86924,1.19882,0.80702,0.80765,0.85722,0.61815,1.02383,0.83493,1.13932,0.000957015,0.000957015,0.000957015
9,4532.28,1.05037,0.84221,1.18628,0.81393,0.80512,0.8498,0.61893,0.99873,0.83849,1.12873,0.000935018,0.000935018,0.000935018
10,5040.6,1.03728,0.83387,1.18454,0.82325,0.79638,0.85717,0.62834,0.99163,0.82535,1.12412,0.00091302,0.00091302,0.00091302
11,5539.57,1.0225,0.81524,1.16915,0.82743,0.80739,0.86295,0.63442,1.00054,0.80115,1.12605,0.000891022,0.000891022,0.000891022
12,6033.81,1.0196,0.80733,1.16843,0.81691,0.81488,0.86053,0.63546,0.98412,0.80757,1.11429,0.000869024,0.000869024,0.000869024
13,6555.25,1.00569,0.79255,1.1605,0.80908,0.82058,0.86294,0.63375,0.98629,0.80643,1.12233,0.000847026,0.000847026,0.000847026
14,7065.13,0.99641,0.77654,1.15616,0.82092,0.82045,0.87211,0.64609,0.97392,0.78101,1.10085,0.000825029,0.000825029,0.000825029
15,7562.44,0.98534,0.77187,1.14748,0.82356,0.83059,0.87246,0.64863,0.96757,0.76848,1.10732,0.000803031,0.000803031,0.000803031
