epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,8058.52,0.97963,0.76682,1.14387,0.81961,0.83019,0.87228,0.65316,0.96658,0.76678,1.10599,0.000781033,0.000781033,0.000781033
17,8556.19,0.9768,0.75979,1.14156,0.8128,0.83441,0.87502,0.65656,0.96184,0.76195,1.10212,0.000759035,0.000759035,0.000759035
18,9050.66,0.9656,0.74237,1.13645,0.82788,0.83247,0.87466,0.65806,0.96297,0.75012,1.09898,0.000737037,0.000737037,0.000737037
19,9556.89,0.95193,0.73763,1.12844,0.82429,0.84647,0.87873,0.66654,0.94645,0.74829,1.09473,0.00071504,0.00071504,0.00071504
20,10054.3,0.94972,0.73219,1.12675,0.80643,0.84523,0.8796,0.66606,0.95099,0.74065,1.09602,0.000693042,0.000693042,0.000693042
21,10546.7,0.9443,0.72355,1.12023,0.82181,0.83772,0.87812,0.66756,0.93925,0.74279,1.09273,0.000671044,0.000671044,0.000671044
22,11058.2,0.94661,0.72133,1.12091,0.82766,0.84237,0.88259,0.67004,0.94072,0.73615,1.08871,0.000649046,0.000649046,0.000649046
23,11555.7,0.93246,0.70907,1.11506,0.81429,0.8426,0.87841,0.66727,0.93958,0.73302,1.08732,0.000627048,0.000627048,0.000627048
24,12048,0.93018,0.70506,1.11086,0.83604,0.84342,0.88587,0.67779,0.92546,0.71644,1.08129,0.000605051,0.000605051,0.000605051
25,12551,0.9228,0.69663,1.10804,0.84035,0.84417,0.88343,0.67562,0.92489,0.72669,1.07917,0.000583053,0.000583053,0.000583053
26,13055.6,0.9111,0.69147,1.10022,0.8241,0.8494,0.88144,0.67764,0.92907,0.72394,1.07974,0.000561055,0.000561055,0.000561055
27,13550.1,0.9124,0.69141,1.10423,0.83363,0.85106,0.88605,0.67759,0.92032,0.71507,1.07339,0.000539057,0.000539057,0.000539057
28,14055.9,0.90245,0.68125,1.09554,0.83953,0.84181,0.88537,0.67784,0.92239,0.71299,1.07661,0.000517059,0.000517059,0.000517059
29,14563,0.89592,0.671,1.09202,0.8259,0.85523,0.88546,0.68105,0.9208,0.71417,1.07577,0.000495062,0.000495062,0.000495062
30,15057.7,0.89115,0.66014,1.08593,0.83471,0.8535,0.88696,0.68414,0.91631,0.70089,1.07273,0.000473064,0.000473064,0.000473064
31,15568.5,0.89177,0.66009,1.08987,0.84453,0.85015,0.89026,0.68698,0.91444,0.69872,1.07235,0.000451066,0.000451066,0.000451066
32,16063.5,0.88762,0.65277,1.09055,0.85072,0.85108,0.89284,0.68709,0.91695,0.69085,1.07611,0.000429068,0.000429068,0.000429068
33,16560.9,0.88078,0.64851,1.08283,0.85146,0.8556,0.89383,0.68929,0.91223,0.69415,1.07051,0.00040707,0.00040707,0.00040707
34,17062.4,0.87486,0.6399,1.078,0.83874,0.86264,0.89338,0.68903,0.91208,0.68666,1.06849,0.000385073,0.000385073,0.000385073
35,17559.9,0.87113,0.63339,1.07324,0.8498,0.85581,0.89526,0.69199,0.91381,0.69003,1.0704,0.000363075,0.000363075,0.000363075
36,18070.5,0.86615,0.63063,1.07253,0.83551,0.87213,0.89761,0.69395,0.9058,0.67926,1.06335,0.000341077,0.000341077,0.000341077
37,18567.7,0.85851,0.62147,1.0678,0.84338,0.86794,0.89606,0.6937,0.90864,0.68313,1.06385,0.000319079,0.000319079,0.000319079
38,19071.7,0.84822,0.61364,1.06389,0.83357,0.87167,0.89589,0.69482,0.90762,0.67564,1.0694,0.000297081,0.000297081,0.000297081
39,19574,0.85306,0.61366,1.0657,0.84637,0.86883,0.89868,0.6969,0.90292,0.67185,1.06547,0.000275084,0.000275084,0.000275084
40,20082.1,0.84299,0.60299,1.06353,0.83295,0.87928,0.8991,0.69734,0.90499,0.67177,1.06668,0.000253086,0.000253086,0.000253086
41,20577.5,0.8368,0.59295,1.05558,0.84479,0.87442,0.90131,0.69908,0.90324,0.66897,1.06387,0.000231088,0.000231088,0.000231088
42,21073.1,0.83039,0.58531,1.05488,0.85109,0.86921,0.89989,0.70043,0.90326,0.6637,1.06582,0.00020909,0.00020909,0.00020909
43,21576.1,0.82754,0.58211,1.05342,0.84907,0.87308,0.90045,0.69934,0.90274,0.6606,1.06538,0.000187092,0.000187092,0.000187092
44,22075.4,0.8241,0.57865,1.05092,0.85363,0.86787,0.90059,0.69941,0.90162,0.66266,1.06381,0.000165095,0.000165095,0.000165095
45,22568.1,0.81265,0.56692,1.04289,0.86122,0.85652,0.901,0.70056,0.9033,0.66425,1.06481,0.000143097,0.000143097,0.000143097
46,23060.7,0.816,0.56371,1.04769,0.85357,0.86501,0.90277,0.70082,0.90383,0.66053,1.06459,0.000121099,0.000121099,0.000121099
47,23553.1,0.81259,0.56426,1.0433,0.84904,0.8697,0.90138,0.70036,0.90353,0.66087,1.06434,9.91012e-05,9.91012e-05,9.91012e-05
48,24045.4,0.81621,0.56299,1.04564,0.84998,0.87041,0.90163,0.69984,0.90485,0.66066,1.06592,7.71034e-05,7.71034e-05,7.71034e-05
49,24537.4,0.80568,0.5569,1.04007,0.85033,0.86715,0.90126,0.70017,0.90548,0.65981,1.06617,5.51056e-05,5.51056e-05,5.51056e-05
50,25032.6,0.78836,0.52484,1.03081,0.84383,0.87319,0.90067,0.69882,0.90778,0.66103,1.07001,3.31078e-05,3.31078e-05,3.31078e-05
