epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1095.63,1.25485,1.66428,1.16283,0.78253,0.75273,0.80557,0.53959,1.0597,0.90009,1.0349,0.00333255,0.00333255,0.00333255
2,2159.38,1.14876,0.99629,1.08911,0.77557,0.7675,0.81792,0.55763,1.01699,0.83377,1.02709,0.0065339,0.0065339,0.0065339
3,3212.91,1.15977,0.92069,1.10366,0.78401,0.77919,0.81927,0.56141,1.007,0.79398,1.02334,0.00960324,0.00960324,0.00960324
4,4267.98,1.13418,0.87722,1.09712,0.80107,0.78441,0.83818,0.58979,0.95685,0.73564,1.00594,0.009406,0.009406,0.009406
5,5324.54,1.08093,0.81571,1.0725,0.79713,0.81161,0.85084,0.60751,0.92396,0.70183,0.98783,0.009208,0.009208,0.009208
6,6372.22,1.04868,0.78116,1.05693,0.81589,0.81555,0.86139,0.62204,0.90724,0.6741,0.976,0.00901,0.00901,0.00901
7,7420.06,1.02859,0.76056,1.04759,0.8238,0.82188,0.86826,0.63276,0.88725,0.65655,0.97015,0.008812,0.008812,0.008812
8,8466.68,1.01211,0.74134,1.04059,0.82748,0.82838,0.87141,0.63985,0.87591,0.64337,0.96495,0.008614,0.008614,0.008614
9,9522.96,1.00134,0.72826,1.03387,0.83161,0.8296,0.87522,0.6453,0.86734,0.63156,0.96007,0.008416,0.008416,0.008416
10,10581.5,0.99014,0.71869,1.03098,0.83125,0.83781,0.87963,0.64991,0.85968,0.62233,0.95775,0.008218,0.008218,0.008218
11,11638.9,0.98327,0.71016,1.02645,0.83449,0.83894,0.88148,0.65344,0.85542,0.61571,0.95532,0.00802,0.00802,0.00802
12,12687.5,0.97566,0.7004,1.02253,0.8389,0.84135,0.88366,0.65626,0.85154,0.61084,0.95338,0.007822,0.007822,0.007822
13,13730.7,0.96798,0.69375,1.01881,0.83967,0.84208,0.88539,0.6592,0.84803,0.6064,0.95141,0.007624,0.007624,0.007624
14,14774.2,0.96696,0.69064,1.01775,0.83898,0.84259,0.886,0.66116,0.8455,0.60341,0.94962,0.007426,0.007426,0.007426
15,15817.6,0.96052,0.68475,1.01499,0.8386,0.84487,0.88681,0.66207,0.84315,0.60058,0.9486,0.007228,0.007228,0.007228
16,16862.7,0.95228,0.67555,1.01205,0.84043,0.84488,0.88765,0.66303,0.84149,0.59767,0.94772,0.00703,0.00703,0.00703
17,17906.4,0.94874,0.67184,1.01036,0.83981,0.84667,0.88855,0.66423,0.83981,0.59536,0.94678,0.006832,0.006832,0.006832
18,18952.7,0.94429,0.66666,1.00795,0.83886,0.8493,0.88972,0.66567,0.83809,0.59288,0.94599,0.006634,0.006634,0.006634
19,19998.3,0.94085,0.66446,1.00717,0.84137,0.84947,0.89059,0.6667,0.83673,0.5906,0.94522,0.006436,0.006436,0.006436
20,21045.4,0.93665,0.65831,1.0053,0.8425,0.85088,0.89122,0.66786,0.83543,0.58865,0.94466,0.006238,0.006238,0.006238
21,22089.9,0.93288,0.65388,1.00296,0.84386,0.85137,0.89219,0.6692,0.83392,0.58657,0.9439,0.00604,0.00604,0.00604
22,23136.4,0.93006,0.64963,1.00164,0.84514,0.85168,0.89283,0.67046,0.83245,0.58451,0.94326,0.005842,0.005842,0.005842
23,24179.9,0.9253,0.64503,0.99894,0.84709,0.85116,0.89359,0.67174,0.83098,0.58248,0.94257,0.005644,0.005644,0.005644
24,25226.2,0.92371,0.6431,0.99901,0.85031,0.85037,0.8941,0.67269,0.82974,0.58089,0.94199,0.005446,0.005446,0.005446
25,26269.7,0.92087,0.64148,0.9977,0.85163,0.85109,0.89475,0.67359,0.82853,0.57901,0.94146,0.005248,0.005248,0.005248
26,27316.4,0.91448,0.63573,0.99505,0.85236,0.85088,0.8956,0.67465,0.82685,0.57713,0.9406,0.00505,0.00505,0.00505
27,28362.9,0.9108,0.63158,0.99374,0.85376,0.85186,0.89655,0.67609,0.82536,0.57548,0.93992,0.004852,0.004852,0.004852
