epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,29412.4,0.90875,0.62926,0.99165,0.85504,0.85263,0.89737,0.67707,0.8234,0.57333,0.93881,0.004654,0.004654,0.004654
29,30458.6,0.90643,0.62553,0.99055,0.85532,0.85411,0.89816,0.67828,0.82181,0.57134,0.93806,0.004456,0.004456,0.004456
30,31505.6,0.90065,0.6209,0.98803,0.857,0.85399,0.89886,0.67973,0.82002,0.56927,0.93717,0.004258,0.004258,0.004258
31,32554.7,0.89782,0.61782,0.98669,0.85908,0.85404,0.89974,0.68062,0.81839,0.5672,0.93633,0.00406,0.00406,0.00406
32,33603,0.89454,0.61364,0.98636,0.8607,0.85454,0.90049,0.68166,0.81683,0.56539,0.93545,0.003862,0.003862,0.003862
33,34649.6,0.89367,0.61171,0.98502,0.86463,0.85328,0.90138,0.6828,0.81527,0.56341,0.93472,0.003664,0.003664,0.003664
34,35697.5,0.88872,0.60877,0.98281,0.86543,0.85364,0.90199,0.68399,0.81346,0.56172,0.93396,0.003466,0.003466,0.003466
35,36747.6,0.88412,0.60329,0.98137,0.86773,0.85272,0.90268,0.68509,0.81181,0.56006,0.93318,0.003268,0.003268,0.003268
36,37794.8,0.87932,0.59934,0.98036,0.86797,0.85427,0.90363,0.68597,0.81043,0.55816,0.93265,0.00307,0.00307,0.00307
37,38842.2,0.87842,0.59729,0.97901,0.8699,0.85598,0.90483,0.68721,0.8091,0.55648,0.93198,0.002872,0.002872,0.002872
38,39889.4,0.8725,0.59202,0.97701,0.87028,0.85692,0.90516,0.68822,0.80769,0.55479,0.93132,0.002674,0.002674,0.002674
39,40935.4,0.86899,0.58887,0.97481,0.87056,0.85833,0.90588,0.689,0.80632,0.55309,0.93072,0.002476,0.002476,0.002476
40,41983.8,0.86587,0.58306,0.97365,0.86934,0.86042,0.90649,0.69037,0.805,0.55114,0.93016,0.002278,0.002278,0.002278
41,42999.7,0.84172,0.55711,0.9627,0.86884,0.86208,0.90712,0.69126,0.80369,0.54935,0.92975,0.00208,0.00208,0.00208
42,44017.3,0.8348,0.54838,0.95845,0.8692,0.86363,0.90774,0.69265,0.8022,0.54734,0.92927,0.001882,0.001882,0.001882
43,45033.1,0.82869,0.54354,0.95778,0.87048,0.86476,0.90873,0.69404,0.80079,0.54543,0.92885,0.001684,0.001684,0.001684
44,46049.5,0.82277,0.53701,0.95409,0.87004,0.86665,0.90935,0.69512,0.79932,0.54336,0.92825,0.001486,0.001486,0.001486
45,47063.8,0.81643,0.53079,0.95174,0.87176,0.86651,0.9099,0.69598,0.79794,0.54144,0.9277,0.001288,0.001288,0.001288
46,48078.9,0.80968,0.52422,0.94997,0.87544,0.86538,0.91089,0.69722,0.79672,0.53935,0.92728,0.00109,0.00109,0.00109
47,49095.7,0.80265,0.51767,0.94637,0.87537,0.86709,0.9118,0.69806,0.79567,0.53747,0.92682,0.000892,0.000892,0.000892
48,50115.5,0.79736,0.51244,0.94474,0.87492,0.86911,0.91266,0.69914,0.79452,0.53536,0.92633,0.000694,0.000694,0.000694
49,51133.2,0.79164,0.50567,0.94284,0.87697,0.86794,0.91317,0.70018,0.79318,0.53355,0.92574,0.000496,0.000496,0.000496
50,52152.9,0.7839,0.49901,0.93881,0.87743,0.86956,0.91367,0.70143,0.79212,0.53189,0.9251,0.000298,0.000298,0.000298
